event_id,student_id,event_date,course_category,completion_pct,time_spent_minutes,status
EVT-92719,8613,05/23/2024,Business,24.4,288,in_progress
EVT-17716,7209,01/17/2024,Design,97.3,28,in_progress
EVT-40007,6511,2024-12-19,Design,39.3,414,completed
EVT-18834,1470,July 08 2024,Engineering,89.2,194,in_progress
EVT-14117,9098,2024-04-21,Security,63.1,369,completed
EVT-53309,6325,08/15/2024,Data,79.5,468,completed
EVT-19287,3979,08/15/2024,Security,50.3,425,completed
EVT-77391,8988,04/30/2024,Security,57.7,284,completed
EVT-41195,4475,07/04/2024,Engineering,49.3,314,dropped
EVT-46500,6813,2024-02-20,Design,19.5,336,completed
EVT-97684,5232,2024-12-17,Data,72.2,478,completed
EVT-73624,6576,2024-07-07,Security,28.1,53,completed
EVT-38080,5581,10/05/2024,Design,2.4,65,completed
EVT-80678,5526,2024-11-26,Business,64.5,403,in_progress
EVT-27342,1166,07/02/2024,Business,17.7,137,completed
EVT-84847,9464,02/01/2024,Design,94.0,346,completed
EVT-85525,4130,2024-07-22,Security,95.4,350,in_progress
EVT-71953,2402,May 21 2024,Design,91.5,191,in_progress
EVT-41850,4954,04/07/2024,Data,37.0,95,completed
EVT-71993,7658,03/03/2024,Data,1.5,341,completed
EVT-63354,9004,08/20/2024,Design,92.8,323,in_progress
EVT-34957,4937,2024-02-16,Design,42.8,32,completed
EVT-22363,8800,December 05 2024,Design,96.7,298,in_progress
EVT-22704,9041,2024-04-18,Business,96.4,340,completed
EVT-96374,8342,2024-11-24,Engineering,85.3,356,completed
EVT-66498,1282,2024-11-23,Data,29.4,341,completed
EVT-56438,2524,11/01/2024,Engineering,38.5,214,dropped
EVT-65519,5820,2024-01-11,Data,85.1,395,completed
EVT-63883,4630,2024-01-26,Engineering,31.7,179,dropped
EVT-71213,7625,2024-06-19,Data,16.9,417,completed
EVT-17100,4986,05/04/2024,Design,55.7,230,in_progress
EVT-98259,6016,2024-03-05,Business,93.6,64,in_progress
EVT-95649,7046,10/16/2024,Design,69.6,15,completed
EVT-94696,8753,04/15/2024,Data,57.0,60,completed
EVT-22899,9698,2024-02-05,Security,9.7,142,completed
EVT-17944,6632,2024-10-10,Security,61.5,123,dropped
EVT-62772,7971,2024-04-16,Design,99.0,271,completed
EVT-54473,6419,10/27/2024,Engineering,14.0,392,in_progress
EVT-24322,6764,April 20 2024,Data,51.8,275,completed
EVT-42591,8434,04/29/2024,Data,87.7,295,completed
EVT-35112,5438,June 17 2024,Business,74.1,307,completed
EVT-34931,6023,2024-03-16,Business,69.7,362,completed
EVT-80292,5118,2024-11-01,Security,70.2,304,completed
EVT-68800,4777,2024-01-02,Engineering,35.9,123,completed
EVT-28373,2976,05/21/2024,Security,29.4,238,completed
EVT-65296,4155,March 15 2024,Design,80.9,201,completed
EVT-34050,6169,2024-03-07,Security,81.0,210,in_progress
EVT-46509,2958,2024-10-03,Engineering,86.7,247,in_progress
EVT-70637,9779,05/08/2024,Data,91.3,405,in_progress
EVT-42742,4033,March 30 2024,Security,51.1,357,completed
EVT-61173,4138,2024-02-26,Security,50.2,311,completed
EVT-68082,4545,2024-12-04,Data,,363,completed
EVT-82132,8933,2024-01-14,Security,65.0,266,completed
EVT-22833,5530,March 08 2024,Data,70.2,87,completed
EVT-16630,9595,2024-01-08,Security,79.6,186,in_progress
EVT-95477,5636,2024-07-02,Engineering,89.0,22,in_progress
EVT-80855,2647,05/01/2024,Data,33.8,257,completed
EVT-11934,4180,2024-10-28,Security,37.6,63,completed
EVT-22224,5853,June 14 2024,Security,9.4,161,dropped
EVT-40982,4727,2024-01-09,Business,57.8,222,dropped
EVT-31798,6912,03/30/2024,Security,3.6,53,in_progress
EVT-63269,3939,2024-05-15,Design,46.6,69,in_progress
EVT-73653,5952,01/27/2024,Business,54.3,435,completed
EVT-73092,1231,2024-03-05,Design,,383,in_progress
EVT-38016,9751,2024-08-03,Engineering,59.1,82,completed
EVT-62565,3073,2024-09-26,Engineering,,188,dropped
EVT-17685,5494,February 28 2024,Design,3.7,169,completed
EVT-31579,1745,2024-02-02,Data,82.3,185,completed
EVT-59672,1893,2024-08-31,Data,36.0,243,completed
EVT-10282,5786,08/17/2024,Security,12.7,411,completed
EVT-61173,3068,2024-07-04,Business,52.2,115,completed
EVT-44760,9042,09/19/2024,Data,77.0,276,completed
EVT-69638,2680,2024-10-30,Business,21.6,257,in_progress
EVT-47388,1200,2024-02-25,Business,62.3,188,completed
EVT-65444,5658,2024-08-19,Security,8.5,253,in_progress
EVT-82845,8690,2024-09-14,Security,5.2,59,completed
EVT-96752,8843,April 23 2024,Engineering,53.1,234,completed
EVT-73788,8216,2024-11-10,Data,54.1,379,dropped
EVT-30289,6582,2024-01-23,Design,63.7,366,completed
EVT-34890,4020,2024-12-03,Design,72.6,241,dropped
EVT-48890,1841,2024-09-23,Business,97.6,173,dropped
EVT-38534,5136,2024-06-03,Security,51.6,44,completed
EVT-17665,8827,2024-08-22,Engineering,32.3,163,completed
EVT-85914,2869,11/25/2024,Data,79.5,32,completed
EVT-81066,2070,2024-01-16,Design,27.1,424,completed
EVT-17989,7565,2024-02-01,Design,43.9,373,in_progress
EVT-51104,9056,2024-09-02,Business,7.8,68,completed
EVT-17492,2213,07/24/2024,Business,2.5,21,in_progress
EVT-16572,1878,August 06 2024,Data,96.3,444,completed
EVT-86569,3485,12/17/2024,Security,83.6,185,in_progress
EVT-72493,3444,2024-02-25,Engineering,69.6,341,completed
EVT-75909,5978,09/08/2024,Security,40.9,65,completed
EVT-79615,2395,12/30/2024,Design,17.3,356,completed
EVT-30635,5066,2024-08-15,Design,15.6,419,completed
EVT-17455,2940,02/07/2024,Business,25.0,94,completed
EVT-76562,7818,2024-02-11,Security,54.9,389,completed
EVT-20500,4697,06/13/2024,Engineering,71.5,134,completed
EVT-34356,9561,11/07/2024,Security,66.0,274,completed
EVT-18981,7232,2024-03-16,Security,28.0,99,completed
EVT-87992,8381,2024-02-03,Design,95.5,292,in_progress
EVT-18907,8253,March 05 2024,Design,73.8,91,dropped
EVT-98501,5871,05/20/2024,Engineering,55.4,179,completed
EVT-40828,8025,2024-11-15,Design,61.2,296,in_progress
EVT-62923,6003,2024-11-20,Design,42.0,228,completed
EVT-25713,1986,2024-10-26,Business,24.8,246,completed
EVT-84668,2625,10/07/2024,Data,35.6,128,completed
EVT-42271,4404,2024-12-30,Business,75.8,418,dropped
EVT-85880,4457,June 15 2024,Design,1.4,217,completed
EVT-87924,5335,2024-07-14,Data,11.6,332,in_progress
EVT-15209,2330,2024-11-01,Engineering,4.6,104,completed
EVT-91183,3573,2024-09-28,Business,4.1,105,completed
EVT-20745,4929,2024-05-30,Engineering,85.5,337,completed
EVT-64948,3847,2024-08-20,Design,70.4,346,completed
EVT-96163,2229,2024-09-15,Business,47.4,231,completed
EVT-86503,3564,2024-11-05,Design,9.8,212,completed
EVT-84085,1043,2024-08-08,Engineering,49.2,24,in_progress
EVT-78522,7693,2024-02-20,Data,47.3,387,completed
EVT-51467,8381,2024-12-25,Design,17.3,324,completed
EVT-93810,8699,February 28 2024,Engineering,43.4,462,in_progress
EVT-36772,5771,2024-12-01,Engineering,39.9,111,completed
EVT-97782,1534,2024-11-29,Security,61.6,240,in_progress
EVT-51180,4792,10/09/2024,Data,,313,completed
EVT-41285,5720,April 20 2024,Design,4.5,229,in_progress
EVT-44814,5632,2024-08-08,Data,37.5,209,completed
EVT-61876,8438,08/19/2024,Design,62.6,12,completed
EVT-27154,2166,04/26/2024,Design,50.3,370,in_progress
EVT-14207,4824,2024-07-30,Design,85.6,119,completed
EVT-94607,5334,06/22/2024,Engineering,65.9,115,in_progress
EVT-49321,4241,08/20/2024,Engineering,16.3,152,dropped
EVT-69929,7965,July 23 2024,Engineering,7.1,395,completed
EVT-51441,2880,2024-07-31,Data,64.2,370,completed
EVT-19508,9922,2024-02-18,Design,2.7,424,completed
EVT-11220,4683,2024-06-09,Engineering,58.6,417,in_progress
EVT-70068,3441,2024-08-06,Design,94.0,42,completed
EVT-91416,5352,06/09/2024,Security,57.5,305,dropped
EVT-83792,3330,December 06 2024,Data,38.8,62,in_progress
EVT-23104,2169,May 10 2024,Engineering,64.3,419,completed
EVT-19602,1977,July 10 2024,Business,45.8,456,completed
EVT-80468,3718,March 19 2024,Data,54.6,284,completed
EVT-37938,6039,12/17/2024,Data,,105,completed
EVT-76307,5728,08/30/2024,Security,38.6,197,in_progress
EVT-44760,8195,02/04/2024,Design,96.1,176,completed
EVT-27361,3037,2024-02-16,Business,90.5,110,completed
EVT-30033,8679,2024-02-13,Engineering,19.6,244,in_progress
EVT-19016,5982,2024-02-17,Engineering,6.9,68,completed
EVT-42018,7594,08/09/2024,Security,10.1,144,completed
EVT-58434,5460,02/19/2024,Engineering,1.8,353,completed
EVT-47353,9199,2024-07-09,Security,9.4,451,completed
EVT-30676,9847,2024-03-07,Engineering,68.3,260,dropped
EVT-67433,9090,2024-10-11,Data,7.1,280,completed
EVT-81200,8172,January 31 2024,Business,31.9,337,completed
EVT-49651,2317,10/27/2024,Business,84.5,170,dropped
EVT-10942,1653,2024-10-14,Business,2.3,315,completed
EVT-95717,8078,2024-10-14,Security,,208,dropped
EVT-19602,6280,2024-06-17,Business,28.2,322,completed
EVT-11025,5102,12/09/2024,Business,11.8,210,completed
EVT-97538,1423,2024-03-03,Engineering,69.7,310,in_progress
EVT-82692,2496,July 29 2024,Engineering,62.9,68,completed
EVT-49240,4750,2024-06-30,Engineering,87.7,188,in_progress
EVT-96951,1339,December 06 2024,Engineering,73.5,190,in_progress
EVT-23577,5415,2024-08-04,Design,80.3,442,completed
EVT-27601,1659,2024-01-27,Business,,244,dropped
EVT-44664,3870,05/27/2024,Engineering,17.7,326,completed
EVT-25129,8708,2024-11-03,Engineering,75.1,98,dropped
EVT-24029,9502,2024-06-08,Security,80.7,426,completed
EVT-82512,8245,2024-06-29,Design,99.1,354,in_progress
EVT-30374,5557,02/23/2024,Security,41.3,371,completed
EVT-45697,3973,2024-10-22,Business,37.2,419,completed
EVT-46930,8141,2024-09-16,Business,77.6,162,completed
EVT-89276,9056,2024-04-18,Engineering,34.1,480,completed
EVT-37607,2494,2024-03-20,Engineering,93.1,324,dropped
EVT-54942,8700,12/02/2024,Engineering,85.8,312,completed
EVT-36685,6700,2024-09-03,Data,42.9,53,completed
EVT-93130,7690,April 24 2024,Security,75.1,354,completed
EVT-44600,6460,02/25/2024,Business,75.5,78,completed
EVT-76244,6260,06/28/2024,Data,10.3,170,completed
EVT-74032,2713,10/11/2024,Design,90.3,70,completed
EVT-42914,3634,2024-07-07,Design,50.5,132,completed
EVT-16658,6403,02/28/2024,Business,82.6,166,in_progress
EVT-22097,7744,May 22 2024,Engineering,32.0,69,completed
EVT-93136,9117,October 20 2024,Data,89.6,103,completed
EVT-65518,5722,04/25/2024,Engineering,38.9,201,completed
EVT-46265,7561,2024-08-07,Design,1.1,365,completed
EVT-15778,1601,2024-10-14,Engineering,90.5,82,completed
EVT-10464,8451,November 14 2024,Design,9.1,271,in_progress
EVT-53719,2442,2024-11-10,Security,31.9,208,completed
EVT-27146,6153,December 11 2024,Engineering,95.0,224,dropped
EVT-15075,5135,11/25/2024,Business,95.1,315,completed
EVT-44335,6296,2024-10-12,Design,57.3,80,completed
EVT-31178,2899,2024-01-14,Business,63.2,304,completed
EVT-67912,7622,2024-11-07,Business,44.8,206,in_progress
EVT-82309,9431,December 02 2024,Design,29.3,226,completed
EVT-66057,1018,2024-12-21,Business,32.9,105,in_progress
EVT-83519,9889,05/16/2024,Engineering,67.3,259,completed
EVT-11267,8569,01/15/2024,Data,75.2,335,completed
EVT-24663,7770,2024-04-02,Design,,285,completed
EVT-19862,1888,05/19/2024,Data,79.0,365,completed
EVT-29536,4073,12/25/2024,Security,9.1,480,completed
EVT-81511,9494,06/07/2024,Security,49.4,340,completed
EVT-14722,6927,2024-06-22,Security,5.8,98,completed
EVT-58393,9167,06/28/2024,Design,55.0,294,in_progress
EVT-86350,8242,January 04 2024,Security,44.2,95,completed
EVT-82420,1845,2024-04-02,Data,,260,in_progress
EVT-29410,4335,March 14 2024,Security,35.1,157,completed
EVT-66333,5375,2024-10-16,Data,11.7,81,completed
EVT-26704,9998,December 02 2024,Data,14.3,105,completed
EVT-15482,3146,2024-07-24,Data,76.2,171,completed
EVT-50404,5719,February 05 2024,Business,61.8,441,completed
EVT-57795,8178,03/13/2024,Data,10.1,240,completed
EVT-15229,8941,2024-11-20,Data,,327,completed
EVT-56898,2989,2024-01-16,Engineering,70.1,37,completed
EVT-37535,1472,02/16/2024,Design,7.3,453,in_progress
EVT-99399,4920,09/28/2024,Data,82.2,193,in_progress
EVT-42706,3594,2024-04-20,Business,70.6,14,in_progress
EVT-97416,6091,July 11 2024,Security,8.1,258,dropped
EVT-23473,1224,08/02/2024,Security,8.5,79,completed
EVT-56357,7684,08/20/2024,Business,98.7,109,dropped
EVT-83385,2527,2024-06-23,Data,37.4,427,completed
EVT-63264,4681,2024-03-21,Design,37.1,206,dropped
EVT-91351,2858,July 08 2024,Design,81.3,297,dropped
EVT-30257,8560,2024-06-08,Data,94.7,268,completed
EVT-41029,2924,2024-06-15,Business,98.6,344,completed
EVT-31299,3522,10/17/2024,Design,75.3,263,completed
EVT-33206,9165,2024-11-01,Engineering,37.6,219,in_progress
EVT-64040,5781,2024-02-13,Design,8.4,360,completed
EVT-13248,9337,2024-01-27,Business,77.7,261,completed
EVT-33509,5479,2024-03-20,Design,55.8,222,in_progress
EVT-53540,7807,2024-03-21,Security,42.4,373,completed
EVT-63964,8905,November 12 2024,Data,90.6,440,completed
EVT-97806,8736,2024-01-26,Security,11.1,237,completed
EVT-42527,4993,December 11 2024,Design,49.3,260,dropped
EVT-44970,8483,2024-02-11,Engineering,1.1,95,in_progress
EVT-30866,3369,2024-05-19,Business,46.9,52,in_progress
EVT-24168,7284,08/14/2024,Engineering,5.6,299,dropped
EVT-60140,4122,12/04/2024,Engineering,,25,completed
EVT-15075,9327,2024-08-05,Business,11.8,417,completed
EVT-71694,3236,2024-09-05,Data,64.9,399,completed
EVT-39154,2143,2024-11-06,Security,74.6,122,completed
EVT-36158,5526,2024-08-14,Design,58.3,159,completed
EVT-70332,7798,2024-07-31,Engineering,96.2,26,completed
EVT-55830,6568,2024-05-19,Business,37.5,150,completed
