COST LINE ITEMS,,,,,
Customer lifetime value (CLV),Average CLV of retained repeat customer,500,750,1000,Fashion retail CLV: €500–1000 (Deloitte 2024 customer retention benchmarks)
Churn Reduction Value (Year 1),=Baseline churn rate × Repeat customer base × CLV × 50% (churn reduction attribution),200000,675000,1600000,Assumes 50% of churn reduction is attributable to phantom stock fix (vs. other factors)
,,,,,
OPERATIONAL EFFICIENCY,,,,,
Planner FTE time saved (hours/week),Hours per week saved per planner (50 planners total),2,5,8,Forrester 2024 automation ROI: 2–8 hours/week per knowledge worker; pessimistic assumes limited adoption
Planner fully-loaded cost (€/hour),Fully-loaded cost per planner hour (salary + benefits + overhead),50,60,70,EU labor cost: €50–70/hour for mid-level planners (Eurostat 2024)
Number of planners,Regional inventory planners across 8 countries,40,50,60,Meridian case: 1–2 planners per country = 8–16; plus central team = 40–60 total
Operational Efficiency Savings (Year 1),=Planner FTE time saved × Planner cost × 50 weeks/year × Number of planners,200000,750000,1680000,
,,,,,
TOTAL VALUE (YEAR 1),=Phantom Stock + Churn reduction + Operational efficiency,720000,2325000,4720000,
,,,,,
THREE-SCENARIO ANALYSIS,,,,,
Scenario,Metric,Pessimistic,Base,Optimistic,Rationale
Pessimistic,Implementation Cost,1465000,,,Data quality issues legacy system complexity extensive rework
Pessimistic,Year 1 Run Cost,350000,,,24/7 inference continuous retraining
Pessimistic,Year 1 Value,720000,,,Slow adoption (8% phantom stock reduction) low churn reduction (2%) limited planner adoption
Pessimistic,Year 1 Net,=-1095000,,,Negative in Year 1
Pessimistic,Year 2 Value,720000,,,Assumes steady-state (no growth)
Pessimistic,Year 2 Run Cost,350000,,,Same as Year 1
Pessimistic,Cumulative by End Year 2,=-645000,,,Still negative
Pessimistic,Payback Period,24-30 months,,,Breaks even in Month 24–30
Pessimistic,Payback Assumption,Value grows 10% YoY (slow adoption ramp),,,Conservative growth assumption
,,,,,
Base Case,Implementation Cost,879000,,,Standard project execution some rework expected
Base Case,Year 1 Run Cost,180000,,,Batch daily inference standard monitoring
Base Case,Year 1 Value,2325000,,,Moderate adoption (5% phantom stock reduction) 3% churn reduction 50% planner adoption
Base Case,Year 1 Net,=1266000,,,Positive in Year 1
Base Case,Year 2 Value,2558000,,,Assumes 10% YoY growth (full adoption ramp)
Base Case,Year 2 Run Cost,180000,,,Same as Year 1
Base Case,Cumulative by End Year 2,=3644000,,,Strongly positive
Base Case,Payback Period,4.5 months,,,Breaks even in Month 4–5
Base Case,Payback Assumption,Value grows 10% YoY (adoption ramp from 50% to 80% by end Year 1),,,Moderate growth assumption
,,,,,
Optimistic,Implementation Cost,424500,,,Smooth execution pre-built templates minimal rework
Optimistic,Year 1 Run Cost,90000,,,Efficient batch processing minimal overhead
Optimistic,Year 1 Value,4720000,,,Fast adoption (3% phantom stock reduction) 4% churn reduction 80% planner adoption
Optimistic,Year 1 Net,=4205000,,,Strongly positive in Year 1
Optimistic,Year 2 Value,5192000,,,Assumes 10% YoY growth (full adoption + network effects)
Optimistic,Year 2 Run Cost,90000,,,Same as Year 1
Optimistic,Cumulative by End Year 2,=9307000,,,Strongly positive
Optimistic,Payback Period,1.1 months,,,Breaks even in Month 1
Optimistic,Payback Assumption,Value grows 10% YoY (fast adoption ramp from 80% to 95% by end Year 1),,,Aggressive growth assumption
,,,,,
PAYBACK PERIOD SUMMARY,,,,,
Scenario,Implementation Cost,Year 1 Value,Year 1 Run Cost,Year 1 Net,Payback Period,Break-Even Month
Pessimistic,1465000,720000,350000,-1095000,24-30 months,26
Base Case,879000,2325000,180000,1266000,4.5 months,5
Optimistic,424500,4720000,90000,4205000,1.1 months,1
,,,,,
SENSITIVITY ANALYSIS: DRIVER 1 - PHANTOM STOCK REDUCTION RATE,,,,,
Target Rate,Phantom Stock Margin Saved,Total Year 1 Value,Change vs Base,% Change
10% (-20% from base 5%),540000,1645000,-680000,-29%
5% (base case),900000,2325000,0,0%
3% (-40% from base 5%),1440000,3105000,780000,34%
,,,,,
SENSITIVITY ANALYSIS: DRIVER 2 - PLANNER ADOPTION RATE,,,,,
Adoption Rate,Operational Efficiency Savings,Total Year 1 Value,Change vs Base,% Change
30% (-40% from base 50%),300000,1845000,-480000,-21%
50% (base case),750000,2325000,0,0%
80% (+60% from base 50%),1200000,2805000,480000,21%
,,,,,
SOURCE BENCHMARKS VERIFICATION,,,,,
Assumption,Source,Status,Confidence,Notes
Phantom stock rate (12% baseline),02-primary-signal.md (Verbatim 1–3),Primary signal,High,
Phantom stock target (3–8%),Zalando investor call Q3 2024 ASOS earnings Aug 2024,Public competitor data,High,
Click-&-collect order volume (500K–1M),Derived from €8M loss ÷ €10.67 AOV,Estimated from case data,Medium,Needs CRM validation
AOV (€80–120),Eurostat 2024 fashion retail data,Public benchmark,High,
Gross margin (40–50%),Forrester 2024 fashion retail benchmarks,Public benchmark,High,
Churn rate (2–4%),Verbatim 1–3 show explicit churn; estimated %,Primary signal + estimate,Medium,Needs CRM validation
CLV (€500–1000),Deloitte 2024 customer retention benchmarks,Public benchmark,High,
Planner FTE time saved (2–8 hrs/week),Forrester 2024 automation ROI,Public benchmark,High,
Planner cost (€50–70/hour),Eurostat 2024 labor costs,Public benchmark,High,
Data integration cost (€50–100K per source),Gartner 2024 Data Integration Costs,Public benchmark,High,
ML model development cost (€150–300K),McKinsey 2024 ML Project Costs,Public benchmark,High,
ERP integration cost (€100–200K),Forrester 2024 ERP Integration Costs,Public benchmark,High,
,,,,,
UNVERIFIED ASSUMPTIONS - FLAGGED FOR VALIDATION,,,,,
Assumption,Current Estimate,Validation Required,Owner,Priority
Click-&-collect order volume,500K–1M/year,Pull from Meridian CRM; validate against case data,Finance,High
Churn rate (% of repeat customers),2–4%,Pull from Meridian CRM; compare to Zalando/ASOS benchmarks,CX,High
Planner adoption rate,50% (base case),Pilot in 1–2 countries; measure weekly adoption,Retail Ops,High
Phantom stock reduction (target 5%),Estimated from Zalando/ASOS,Pilot in 1–2 countries; measure actual reduction,Retail Ops,High
